test,distance [m],V photodiode [V], Sitting status success [T/F],Present status success [T/F]
680,1.069310345,3.66568915,1,1
681,1.057758621,3.778103617,1,1
682,1.061896552,3.900293255,1,1
683,1.061896552,3.758553275,1,1
684,1.061896552,3.753665689,1,1
685,1.057586207,3.71945259,1,1
686,1.070517241,3.734115347,1,1
687,1.074655172,3.929618768,1,1
688,1.106896552,3.919843597,1,1
689,1.070517241,3.826979472,1,1
690,1.112068966,3.846529814,1,1
691,1.061896552,3.866080156,1,1
692,1.106724138,3.817204301,1,1
693,1.070344828,3.699902248,1,1
694,1.070344828,3.714565005,1,1
695,1.053275862,3.94916911,1,1
696,1.070344828,3.822091887,1,1
697,1.069482759,3.866080156,1,1
698,1.107758621,3.861192571,1,1
699,1.085517241,3.729227761,1,1
700,Inf,3.734115347,1,1
701,1.053448276,3.890518084,1,1
702,1.070344828,3.875855327,1,1
703,1.116206897,3.875855327,1,1
704,1.089655172,3.822091887,1,1
705,1.098275862,3.841642229,1,1
706,1.057586207,3.861192571,1,1
707,1.115344828,3.724340176,1,1
708,1.102413793,3.782991202,1,1
709,1.061034483,3.968719453,1,1
710,1.074655172,3.963831867,1,1
711,1.048448276,3.885630499,1,1
712,1.065172414,3.80742913,1,1
713,1.061896552,3.841642229,1,1
714,1.048275862,3.924731183,1,1
715,1.069482759,3.841642229,1,1
716,1.093965517,3.836754643,1,1
717,1.090689655,3.954056696,1,1
718,1.065344828,3.8514174,1,1
719,1.061034483,3.773216031,1,1
720,1.056724138,3.8514174,1,1
721,1.061724138,3.885630499,1,1
722,1.061724138,3.919843597,1,1
723,1.082241379,3.978494624,1,1
724,1.052413793,3.739002933,1,1
725,1.069482759,3.875855327,1,1
726,1.107758621,3.861192571,1,1
727,1.069482759,3.968719453,1,1
728,1.065172414,3.89540567,1,1
729,1.052586207,3.875855327,1,1
730,1.073793103,3.89540567,1,1
731,Inf,3.831867058,1,1
732,1.073793103,3.856304985,1,1
733,1.048275862,3.817204301,1,1
734,1.048275862,3.919843597,1,1
735,1.052413793,3.885630499,1,1
736,1.048103448,3.831867058,1,1
737,1.073793103,3.758553275,1,1
738,1.065344828,3.929618768,1,1
739,1.069482759,3.885630499,1,1
740,1.052586207,3.890518084,1,1
741,1.056896552,3.768328446,1,1
742,1.069482759,3.773216031,1,1
743,1.052586207,3.919843597,1,1
744,1.048448276,3.978494624,1,1
745,1.056896552,3.89540567,1,1
746,1.065344828,3.880742913,1,1
747,1.094137931,3.768328446,1,1
748,1.111206897,3.841642229,1,1
749,1.069655172,3.963831867,1,1
750,1.052586207,3.812316716,1,1
751,1.061034483,3.885630499,1,1
752,1.056896552,3.841642229,1,1
753,1.052586207,3.831867058,1,1
754,1.097413793,3.988269795,1,1
755,1.095,3.900293255,1,1
756,1.056896552,3.739002933,1,1
757,1.073793103,3.856304985,1,1
758,1.065344828,3.870967742,1,1
759,1.082241379,3.817204301,1,1
760,1.082413793,3.910068426,1,1
761,1.056724138,3.831867058,1,1
762,1.056896552,3.792766373,1,1
763,1.056724138,3.963831867,1,1
764,1.052586207,3.778103617,1,1
765,1.052586207,3.8514174,1,1
766,1.061034483,3.826979472,1,1
767,1.056724138,3.973607038,1,1
768,1.065344828,3.787878788,1,1
769,1.069655172,3.8514174,1,1
770,1.112068966,3.939393939,1,1
771,1.061034483,3.929618768,1,1
772,1.056896552,3.846529814,1,1
773,1.052586207,3.905180841,1,1
